"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","Lipo 2S","~","XH_2p54:2P_male","1",""
"C1,C2","100uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C3,C4,C8,C9,C14,C15","0.1uF","~","-- mixed values --","6",""
"C5,C6,C7,C10,C11,C16,C17","10uF","~","-- mixed values --","7",""
"C12,C13","470nF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"D1","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D2,D4","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_SMD:D_SOD-323F","2",""
"D3","WS2812B","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","1",""
"M1,M2","GA12_N20","~","XH_2p54:2P_male","2",""
"R1","R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","11",""
"R3","6K2","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1","SW_DPDT_x2","~","SW_SS12D07VG4:SW_SS12D07VG4","1",""
"SW2","SW_Push","~","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","1",""
"U1,U4,U5,U6,U7,U8,U9,U10","~","","-- mixed values --","8",""
"U2","L7806","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U3","AMS1117-5.0","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
